pm10,pm2_5,so2,co,o3,no2,kualitas
54,73,56,24,23,24,SEDANG
40,64,57,21,17,24,SEDANG
75,129,45,25,71,26,TIDAK SEHAT
66,110,47,16,61,23,TIDAK SEHAT
56,78,49,11,60,13,SEDANG
78,126,48,17,126,25,TIDAK SEHAT
81,137,47,18,106,29,TIDAK SEHAT
68,109,50,12,91,19,TIDAK SEHAT
85,148,51,25,74,37,TIDAK SEHAT
59,84,50,15,56,29,SEDANG
58,82,49,16,55,29,SEDANG
64,85,49,17,56,30,SEDANG
80,130,50,25,57,37,TIDAK SEHAT
76,119,53,19,53,31,TIDAK SEHAT
64,98,50,12,66,19,SEDANG
71,119,50,15,82,20,TIDAK SEHAT
76,116,49,17,81,27,TIDAK SEHAT
57,78,49,13,79,22,SEDANG
59,101,49,13,65,17,TIDAK SEHAT
76,117,50,14,69,18,TIDAK SEHAT
70,105,49,14,66,26,TIDAK SEHAT
64,89,49,25,84,28,SEDANG
55,78,48,17,108,25,TIDAK SEHAT
61,89,51,15,181,33,TIDAK SEHAT
64,84,50,17,63,28,SEDANG
68,93,50,14,80,20,SEDANG
58,77,48,21,76,36,SEDANG
65,94,49,17,97,25,SEDANG
74,107,52,19,80,27,TIDAK SEHAT
73,116,49,19,82,29,TIDAK SEHAT
61,88,50,14,103,21,TIDAK SEHAT
60,84,48,18,97,27,SEDANG
76,119,50,18,114,29,TIDAK SEHAT
69,101,49,19,87,29,TIDAK SEHAT
60,82,47,17,79,26,SEDANG
69,99,48,15,82,20,SEDANG
82,141,51,19,129,24,TIDAK SEHAT
67,113,50,15,84,28,TIDAK SEHAT
83,130,51,15,42,25,TIDAK SEHAT
71,103,51,14,45,23,TIDAK SEHAT
62,100,51,14,50,21,SEDANG
62,92,51,13,55,24,SEDANG
63,86,51,14,58,26,SEDANG
57,79,51,14,56,26,SEDANG
58,94,50,14,48,25,SEDANG
57,83,50,17,39,33,SEDANG
73,97,50,24,50,45,SEDANG
63,90,50,16,37,24,SEDANG
69,112,50,17,42,32,TIDAK SEHAT
66,110,51,21,37,41,TIDAK SEHAT
70,113,51,17,46,28,TIDAK SEHAT
72,113,51,21,43,33,TIDAK SEHAT
70,103,51,19,49,35,TIDAK SEHAT
62,100,51,18,52,33,SEDANG
78,117,51,26,34,39,TIDAK SEHAT
67,113,53,18,42,38,TIDAK SEHAT
59,81,52,18,45,32,SEDANG
53,79,52,18,35,27,SEDANG
64,88,51,20,37,34,SEDANG
56,72,48,22,41,39,SEDANG
71,91,49,28,32,43,SEDANG
61,87,48,26,32,45,SEDANG
55,79,49,15,38,21,SEDANG
63,86,51,12,43,17,SEDANG
59,105,51,15,45,23,TIDAK SEHAT
42,76,50,9,33,14,SEDANG
64,102,50,18,37,31,TIDAK SEHAT
71,108,51,21,35,32,TIDAK SEHAT
39,43,51,11,27,17,SEDANG
27,53,51,9,30,19,SEDANG
41,57,50,10,31,18,SEDANG
52,66,51,11,45,21,SEDANG
58,82,51,19,39,41,SEDANG
52,67,50,16,31,27,SEDANG
67,88,51,28,47,45,SEDANG
64,92,51,22,42,44,SEDANG
59,79,50,16,45,35,SEDANG
56,85,51,13,54,25,SEDANG
62,93,51,19,52,36,SEDANG
55,78,51,13,58,27,SEDANG
67,94,50,28,47,45,SEDANG
63,91,52,17,54,36,SEDANG
70,97,54,27,44,42,SEDANG
77,126,51,23,59,45,TIDAK SEHAT
54,74,50,14,38,25,SEDANG
58,95,50,24,39,35,SEDANG
35,61,50,17,28,25,SEDANG
51,66,53,17,35,34,SEDANG
61,89,51,20,39,32,SEDANG
51,68,50,22,36,42,SEDANG
67,98,51,15,40,33,SEDANG
56,76,51,18,38,35,SEDANG
54,79,50,12,43,19,SEDANG
80,128,52,14,39,21,TIDAK SEHAT
41,66,51,18,35,27,SEDANG
54,77,51,16,33,32,SEDANG
53,86,51,15,41,29,SEDANG
51,87,51,11,49,19,SEDANG
60,78,51,21,44,22,SEDANG
49,70,51,10,44,21,SEDANG
84,144,51,14,54,34,TIDAK SEHAT
65,89,51,13,49,23,SEDANG
66,95,52,23,49,42,SEDANG
62,81,51,22,55,42,SEDANG
63,90,51,18,38,34,SEDANG
74,104,51,13,48,22,TIDAK SEHAT
66,101,53,30,36,50,TIDAK SEHAT
64,96,51,25,41,47,SEDANG
53,76,51,18,29,30,SEDANG
46,71,51,19,31,25,SEDANG
40,61,51,11,36,18,SEDANG
38,63,51,17,38,27,SEDANG
60,85,51,17,44,28,SEDANG
59,95,51,16,39,33,SEDANG
54,80,52,10,31,22,SEDANG
58,72,52,12,35,25,SEDANG
42,53,53,16,29,27,SEDANG
47,77,56,12,27,24,SEDANG
34,51,51,7,30,12,SEDANG
40,62,51,11,29,19,SEDANG
46,72,51,10,26,15,SEDANG
50,71,52,11,29,23,SEDANG
51,66,52,10,34,24,SEDANG
52,77,52,15,38,26,SEDANG
80,131,51,20,42,45,TIDAK SEHAT
74,112,52,24,37,36,TIDAK SEHAT
59,83,51,14,50,31,SEDANG
53,73,51,22,48,32,SEDANG
65,97,52,13,40,31,SEDANG
64,93,52,17,50,31,SEDANG
60,94,52,18,42,30,SEDANG
60,100,52,16,49,31,SEDANG
65,95,52,19,45,34,SEDANG
74,117,52,19,48,33,TIDAK SEHAT
70,107,49,24,41,44,TIDAK SEHAT
53,88,52,21,37,40,SEDANG
51,85,52,16,47,35,SEDANG
59,94,51,21,31,41,SEDANG
42,72,52,27,29,35,SEDANG
44,72,52,20,31,32,SEDANG
37,62,51,10,32,22,SEDANG
47,71,51,13,28,23,SEDANG
46,71,51,10,30,17,SEDANG
28,60,52,10,29,23,SEDANG
56,83,52,12,28,30,SEDANG
65,98,52,30,38,45,SEDANG
64,96,52,26,46,45,SEDANG
64,99,57,28,39,48,SEDANG
85,154,54,23,29,47,TIDAK SEHAT
57,86,62,45,27,32,SEDANG
49,65,59,49,23,24,SEDANG
31,40,57,38,24,18,SEDANG
58,92,57,55,26,24,SEDANG
42,56,57,45,25,18,SEDANG
43,62,58,54,25,27,SEDANG
36,47,58,42,20,18,SEDANG
46,66,57,41,15,19,SEDANG
23,50,57,12,16,15,SEDANG
46,60,53,12,37,28,SEDANG
60,87,51,13,36,26,SEDANG
56,82,52,14,39,27,SEDANG
55,77,52,17,41,29,SEDANG
71,113,48,22,38,41,TIDAK SEHAT
73,117,53,16,48,42,TIDAK SEHAT
95,165,53,18,55,32,TIDAK SEHAT
59,102,51,14,51,26,TIDAK SEHAT
49,80,49,13,37,21,SEDANG
40,70,45,10,36,11,SEDANG
64,89,52,13,76,21,SEDANG
27,50,40,12,30,11,BAIK
